,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10675364,Flanders,Flemish Brabant,Wezembeek-Oppem,1970,HOUSE,HOUSE,460000.0,3.0,120.0,USA_HYPER_EQUIPPED,False,,True,20.0,True,110.0,227,2,False,GOOD
1,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10675441,Brussels,Brussels,Woluwe-Saint-Pierre,1150,HOUSE,HOUSE,599000.0,4.0,203.0,INSTALLED,False,,True,,True,50.0,258,3,False,GOOD
2,https://www.immoweb.be/en/classified/house/for-sale/schilde/2970/10676922,Flanders,Antwerp,Schilde,2970,HOUSE,HOUSE,655000.0,2.0,235.0,INSTALLED,,-1.0,,,,,930,4,,AS_NEW
3,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brussels/1000/10675403,Brussels,Brussels,Brussels,1000,HOUSE,MIXED_USE_BUILDING,1475000.0,6.0,518.0,0,False,,True,100.0,True,200.0,330,2,False,TO_RENOVATE
4,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10682369,Wallonie,Liège,Huy,4500,HOUSE,HOUSE,149500.0,3.0,100.0,SEMI_EQUIPPED,,-1.0,,,,,265,3,,GOOD
5,https://www.immoweb.be/en/classified/house/for-sale/la%20louviere/7100/10681476,Wallonie,Hainaut,La Louviere,7100,HOUSE,HOUSE,155000.0,3.0,154.0,INSTALLED,,,True,,,,222,2,False,GOOD
6,https://www.immoweb.be/en/classified/house/for-sale/desselgem/8792/10682224,Flanders,West Flanders,Desselgem,8792,HOUSE,HOUSE,299500.0,3.0,140.0,INSTALLED,,-1.0,,,,,1461,4,,GOOD
7,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10681864,Flanders,East Flanders,Gent,9000,HOUSE,HOUSE,350000.0,2.0,127.0,HYPER_EQUIPPED,False,,True,,True,55.0,94,2,False,GOOD
8,https://www.immoweb.be/en/classified/house/for-sale/de%20panne/8660/10682245,Flanders,West Flanders,De Panne,8660,HOUSE,HOUSE,360000.0,3.0,206.0,NOT_INSTALLED,,-1.0,,,,,1494,,,TO_RESTORE
9,https://www.immoweb.be/en/classified/villa/for-sale/havelange/5370/10681608,Wallonie,Namur,Havelange,5370,HOUSE,VILLA,395000.0,4.0,180.0,USA_HYPER_EQUIPPED,False,,True,,True,820.0,1000,4,False,JUST_RENOVATED
10,https://www.immoweb.be/en/classified/house/for-sale/aubange/6790/10681607,Wallonie,Luxembourg,Aubange,6790,HOUSE,HOUSE,460000.0,4.0,130.0,INSTALLED,False,,True,10.0,,,503,4,False,GOOD
11,https://www.immoweb.be/en/classified/house/for-sale/lebbeke/9280/10681384,Flanders,East Flanders,Lebbeke,9280,HOUSE,HOUSE,689000.0,3.0,260.0,USA_HYPER_EQUIPPED,False,,True,60.0,True,1800.0,2080,4,False,GOOD
12,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/10683613,Brussels,Brussels,Watermael-Boitsfort,1170,HOUSE,HOUSE,730000.0,3.0,185.0,USA_INSTALLED,,1.0,True,15.0,True,50.0,155,2,False,GOOD
13,https://www.immoweb.be/en/classified/house/for-sale/rixensart%20genval/1332/10657583,Wallonie,Walloon Brabant,Rixensart Genval,1332,HOUSE,HOUSE,485000.0,3.0,148.0,SEMI_EQUIPPED,False,,,,True,88.0,232,3,False,GOOD
14,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10657514,Wallonie,Walloon Brabant,Waterloo,1410,HOUSE,HOUSE,549000.0,4.0,207.0,INSTALLED,False,,True,25.0,True,230.0,464,3,False,GOOD
15,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10657515,Wallonie,Walloon Brabant,Braine-l'Alleud,1420,HOUSE,HOUSE,549000.0,4.0,207.0,INSTALLED,False,,True,25.0,True,230.0,464,3,False,GOOD
16,https://www.immoweb.be/en/classified/house/for-sale/mettet/5640/10666296,Wallonie,Namur,Mettet,5640,HOUSE,HOUSE,250000.0,4.0,135.0,SEMI_EQUIPPED,,-1.0,True,30.0,True,1400.0,1651,4,,TO_BE_DONE_UP
17,https://www.immoweb.be/en/classified/house/for-sale/fraire/5650/10666292,Wallonie,Namur,FRAIRE,5650,HOUSE,HOUSE,250000.0,4.0,135.0,SEMI_EQUIPPED,,-1.0,True,30.0,True,1400.0,1651,4,,TO_BE_DONE_UP
18,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10666836,Flanders,Flemish Brabant,Gooik,1755,HOUSE,HOUSE,329000.0,2.0,167.0,SEMI_EQUIPPED,,-1.0,,,,,402,4,,TO_BE_DONE_UP
19,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10667243,Flanders,Flemish Brabant,Herent,3020,HOUSE,HOUSE,370000.0,3.0,181.0,SEMI_EQUIPPED,,-1.0,,,True,151.0,265,3,,TO_BE_DONE_UP
20,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10667814,Wallonie,Walloon Brabant,Braine-l'Alleud,1420,HOUSE,HOUSE,695000.0,6.0,300.0,INSTALLED,,-1.0,,,True,900.0,1100,4,,AS_NEW
21,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10667169,Brussels,Brussels,Etterbeek,1040,HOUSE,HOUSE,780000.0,5.0,233.0,HYPER_EQUIPPED,,,True,3.0,True,33.0,100,2,False,TO_BE_DONE_UP
22,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10667873,Brussels,Brussels,Uccle,1180,HOUSE,HOUSE,780000.0,4.0,172.0,HYPER_EQUIPPED,False,,True,13.0,True,90.0,180,2,False,GOOD
23,https://www.immoweb.be/en/classified/exceptional-property/for-sale/kampenhout/1910/10666826,Flanders,Flemish Brabant,Kampenhout,1910,HOUSE,EXCEPTIONAL_PROPERTY,795000.0,4.0,445.0,USA_HYPER_EQUIPPED,,,True,,True,1172.0,1663,3,False,GOOD
24,https://www.immoweb.be/en/classified/house/for-sale/forest/1190/10673917,Brussels,Brussels,Forest,1190,HOUSE,HOUSE,499000.0,3.0,230.0,INSTALLED,False,,True,,,,70,2,False,TO_BE_DONE_UP
25,https://www.immoweb.be/en/classified/villa/for-sale/braine-l%27alleud/1420/10673958,Wallonie,Walloon Brabant,Braine-l'Alleud,1420,HOUSE,VILLA,650000.0,6.0,240.0,HYPER_EQUIPPED,False,1.0,True,,True,,998,4,True,GOOD
26,https://www.immoweb.be/en/classified/chalet/for-sale/froidchapelle/6440/10678717,Wallonie,Hainaut,Froidchapelle,6440,HOUSE,CHALET,75000.0,2.0,60.0,INSTALLED,False,,True,15.0,True,190.0,250,4,True,GOOD
27,https://www.immoweb.be/en/classified/house/for-sale/pont-a-celles/6230/10622580,Wallonie,Hainaut,Pont-a-Celles,6230,HOUSE,HOUSE,169500.0,3.0,100.0,SEMI_EQUIPPED,False,,True,10.0,True,70.0,154,2,False,GOOD
28,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10678887,Flanders,East Flanders,Lede,9340,HOUSE,HOUSE,249000.0,3.0,125.0,INSTALLED,False,,True,9.0,,,82,2,False,GOOD
29,https://www.immoweb.be/en/classified/house/for-sale/de%20klinge/9170/10680525,Flanders,East Flanders,DE KLINGE,9170,HOUSE,HOUSE,279000.0,3.0,120.0,INSTALLED,,-1.0,,,True,28.0,144,2,,GOOD
30,https://www.immoweb.be/en/classified/apartment/for-sale/kozen/3850/10686611,Flanders,Limburg,KOZEN,3850,APARTMENT,APARTMENT,295000.0,1.0,126.0,HYPER_EQUIPPED,,-1.0,True,17.0,,,,2,,JUST_RENOVATED
